Phone,Start (s),End (s),Duration (ms),Score
P,0.02,0.0401,20.0,9570499.0
R,0.0401,0.0801,40.1,15744350.0
I,0.1202,0.1402,20.0,33264764.0
N,0.1402,0.1803,40.1,9172413.0
T,0.2203,0.2604,40.1,1806627.5
I,0.3606,0.4006,40.1,3277790.5
N,0.4006,0.4407,40.1,3663611.5
G,0.4607,0.4808,20.0,2071831.25
|,0.5008,0.5809,80.1,412924.375
I,0.9214,0.9415,20.0,1800860.625
N,0.9415,0.9615,20.0,2003172.0
|,0.9815,1.0216,40.1,2235774.5
T,1.0216,1.0617,40.1,1738713.75
H,1.0617,1.0817,20.0,2282642.5
E,1.0817,1.1218,40.1,2220445.0
|,1.1218,1.1618,40.1,2165913.75
O,1.2419,1.262,20.0,20417706.0
N,1.282,1.302,20.0,10490247.0
L,1.3621,1.3822,20.0,1814779.0
Y,1.4423,1.4623,20.0,2586133.75
|,1.4623,1.5224,60.1,1452270.0
S,1.5825,1.6225,40.1,23735436.0
E,1.7027,1.7427,40.1,15602794.0
N,1.7427,1.7828,40.1,9746991.0
S,1.8228,1.8629,40.1,3981861.25
E,1.8629,1.8829,20.0,7522379.5
|,1.8829,1.943,60.1,1917326.625
W,1.9831,2.0031,20.0,21190032.0
I,2.0232,2.0432,20.0,5295765.5
T,2.0632,2.0833,20.0,2143814.75
H,2.0833,2.1233,40.1,1760750.375
|,2.1233,2.1433,20.0,531344.8125
W,2.1834,2.2034,20.0,60621968.0
H,2.2034,2.2435,40.1,27626462.0
I,2.2435,2.2836,40.1,18307136.0
C,2.2836,2.3036,20.0,47952540.0
H,2.3036,2.3437,40.1,7678482.5
|,2.3437,2.3837,40.1,2577648.0
W,2.4038,2.4438,40.1,46395048.0
E,2.4839,2.5039,20.0,1836682.375
|,2.5239,2.564,40.1,1804210.25
A,2.6241,2.6441,20.0,2153529.5
R,2.6642,2.6842,20.0,3710076.5
E,2.7042,2.7243,20.0,2923032.25
|,2.7243,2.7643,40.1,6040345.5
A,2.7843,2.8044,20.0,1750373.125
T,2.8044,2.8444,40.1,515575.5938
|,2.8444,2.8845,40.1,2191375.75
P,2.9246,2.9446,20.0,36206836.0
R,2.9446,2.9847,40.1,9749428.0
E,3.0247,3.0448,20.0,6769803.0
S,3.0848,3.1048,20.0,11072536.0
E,3.1449,3.1649,20.0,5485031.0
N,3.1649,3.185,20.0,3238558.0
T,3.205,3.225,20.0,1520994.125
|,3.2451,3.2851,40.1,177468.9688
C,3.3252,3.3452,20.0,8553125.0
O,3.3853,3.4053,20.0,11871033.0
N,3.4053,3.4454,40.1,4045387.5
C,3.5255,3.5455,20.0,3954689.0
E,3.6657,3.6858,20.0,5919013.5
R,3.7058,3.7258,20.0,2660012.5
N,3.7659,3.8059,40.1,350058.625
E,3.846,3.866,20.0,219409.3906
D,3.866,3.8861,20.0,343302.9062
|,3.9061,3.9662,60.1,1038495.0
D,4.4469,4.467,20.0,6892648.5
I,4.5271,4.5471,20.0,22855364.0
F,4.5471,4.5671,20.0,3877961.75
F,4.6272,4.6472,20.0,8089985.5
E,4.6873,4.7073,20.0,1203019.5
R,4.7073,4.7674,60.1,663332.0625
S,4.8075,4.8476,40.1,493986.1875
|,4.8676,4.9077,40.1,3922713.5
F,5.0879,5.108,20.0,3577076.5
R,5.108,5.148,40.1,6999637.0
O,5.1681,5.2081,40.1,4466121.0
M,5.2081,5.2282,20.0,754749.75
|,5.2282,5.2882,60.1,2765164.0
M,5.3083,5.3483,40.1,8357692.5
O,5.4485,5.4685,20.0,26979660.0
S,5.5086,5.5487,40.1,8820364.0
T,5.5687,5.5887,20.0,3252777.75
|,5.6288,5.6688,40.1,866440.625
I,5.7089,5.7289,20.0,2609561.0
F,5.7289,5.749,20.0,1176753.125
|,5.769,5.8291,60.1,1189107.875
N,5.8692,5.9092,40.1,3858636.5
O,5.9693,5.9893,20.0,1852747.875
T,6.0294,6.0494,20.0,554241.125
|,6.0695,6.1095,40.1,1617437.75
F,6.1296,6.1496,20.0,3616105.75
R,6.1696,6.1897,20.0,13393144.0
O,6.2297,6.2498,20.0,7280566.5
M,6.2498,6.2698,20.0,1476112.75
|,6.2698,6.3499,80.1,1501082.625
A,6.5102,6.5302,20.0,13724909.0
L,6.5302,6.5702,40.1,5090635.0
L,6.6103,6.6303,20.0,5248393.5
|,6.6303,6.7105,80.1,4252741.0
T,6.7105,6.7305,20.0,1217028.5
H,6.7305,6.7505,20.0,1050374.625
E,6.7505,6.7706,20.0,1757170.25
|,6.7706,6.8106,40.1,1779040.0
A,6.8707,6.8908,20.0,15934722.0
R,6.8908,6.9308,40.1,4827123.0
T,6.9709,6.9909,20.0,2069037.25
S,7.031,7.051,20.0,2346412.0
|,7.051,7.0911,40.1,1327946.75
A,7.1311,7.1512,20.0,714413.75
N,7.1512,7.1712,20.0,886544.375
D,7.1912,7.2112,20.0,716937.6875
|,7.2112,7.2513,40.1,1749281.75
C,7.2914,7.3114,20.0,2430917.25
R,7.3314,7.3715,40.1,8064387.0
A,7.4917,7.5117,20.0,8544271.0
F,7.5117,7.5518,40.1,1357995.5
T,7.5918,7.6519,60.1,972484.5
S,7.672,7.712,40.1,1316118.625
|,7.712,7.7721,60.1,3428679.25
R,7.8522,7.9123,60.1,5641859.5
E,7.9324,7.9524,20.0,5225639.0
P,8.0125,8.0325,20.0,31437130.0
R,8.0325,8.0726,40.1,4547933.5
E,8.0926,8.1127,20.0,6224756.5
S,8.1527,8.1728,20.0,12747449.0
E,8.2128,8.2328,20.0,14303504.0
N,8.2328,8.2729,40.1,7003264.0
T,8.2929,8.333,40.1,764342.0
E,8.3731,8.3931,20.0,255456.0469
D,8.4131,8.4332,20.0,249658.8594
|,8.4332,8.4932,60.1,587456.0
I,8.6134,8.6335,20.0,844923.4375
N,8.6335,8.6535,20.0,1118673.625
|,8.6535,8.7136,60.1,1161726.0
T,8.7136,8.7336,20.0,604221.4375
H,8.7336,8.7537,20.0,684375.5625
E,8.7537,8.7937,40.1,725978.125
|,8.7937,8.8338,40.1,1449704.875
E,8.8738,8.9139,40.1,18314552.0
