file,SAR,SpectralFlat,HF_Ratio,DNSMOS_proxy
pair_000_orig_M.wav,1.0,0.046785,0.009117,4.2846
pair_001_orig_F.wav,0.893,0.048565,0.025449,4.0194
pair_002_orig_M.wav,1.0,0.040908,0.004458,4.3797
pair_003_orig_F.wav,0.7591,0.019661,0.004749,4.2162
pair_004_orig_F.wav,1.0,0.070127,0.018339,3.9206
pair_005_orig_F.wav,0.8556,0.121606,0.035998,3.1572
pair_006_orig_F.wav,1.0,0.049576,0.008541,4.2436
pair_007_orig_F.wav,1.0,0.447383,0.138354,3.2925
pair_008_orig_M.wav,0.8824,0.049885,0.011706,3.9989
pair_009_orig_F.wav,0.951,0.168806,0.024723,3.3649
pair_010_orig_M.wav,1.0,0.043005,0.006971,4.3445
pair_011_orig_M.wav,1.0,0.070906,0.004942,3.929
pair_012_orig_F.wav,0.7647,0.242258,0.015147,3.0067
pair_013_orig_F.wav,0.6104,0.161174,0.036322,2.6663
pair_014_orig_F.wav,1.0,0.306553,0.068603,3.3971
pair_015_orig_F.wav,1.0,0.026089,0.001572,4.6063
pair_016_orig_F.wav,1.0,0.06577,0.009999,3.9985
pair_017_orig_M.wav,0.8503,0.043041,0.016144,4.0307
pair_018_orig_F.wav,1.0,0.116895,0.024314,3.4635
pair_019_orig_M.wav,1.0,0.0367,0.004585,4.4426
pair_020_orig_M.wav,0.9037,0.068373,0.018359,3.7543
pair_021_orig_M.wav,1.0,0.064003,0.012412,4.0213
pair_022_orig_M.wav,1.0,0.025362,0.004306,4.6131
pair_023_orig_M.wav,1.0,0.08286,0.006151,3.7479
pair_024_orig_F.wav,0.8376,0.087441,0.049787,3.2889
pair_025_orig_M.wav,1.0,0.31507,0.08186,3.3772
pair_026_orig_M.wav,1.0,0.062641,0.016497,4.0356
pair_027_orig_F.wav,1.0,0.451861,0.207503,3.1887
pair_028_orig_M.wav,1.0,0.036585,0.002131,4.448
pair_029_orig_F.wav,0.9843,0.039599,0.002178,4.3713
pair_030_orig_M.wav,1.0,0.062057,0.003844,4.0634
pair_031_orig_F.wav,1.0,0.069903,0.02128,3.9195
pair_032_orig_F.wav,1.0,0.51911,0.163257,3.2551
pair_033_orig_F.wav,1.0,0.041464,0.001134,4.3763
pair_034_orig_F.wav,1.0,0.082363,0.010266,3.7492
pair_035_orig_F.wav,0.9572,0.043581,0.003918,4.2549
pair_036_orig_F.wav,1.0,0.384086,0.174062,3.2389
pair_037_orig_F.wav,1.0,0.42804,0.336248,2.9956
pair_038_orig_F.wav,1.0,0.099169,0.00114,3.5108
pair_039_orig_F.wav,1.0,0.627965,0.494459,2.7583
pair_040_orig_F.wav,0.9231,0.055313,3e-05,4.0164
pair_041_orig_M.wav,1.0,0.155884,0.021084,3.4684
pair_042_orig_F.wav,0.9947,0.123276,0.015028,3.4668
pair_043_orig_M.wav,1.0,0.214542,0.086614,3.3701
pair_044_orig_F.wav,1.0,0.340575,0.229548,3.1557
pair_045_orig_F.wav,0.984,0.130406,0.042208,3.4046
pair_046_orig_M.wav,0.9853,0.019736,0.001828,4.6718
pair_047_orig_F.wav,1.0,0.117878,0.042114,3.4368
pair_048_orig_F.wav,0.9333,0.092524,0.000814,3.4776
pair_049_orig_M.wav,1.0,0.054147,0.002788,4.1836
pair_050_orig_M.wav,0.8877,0.050592,0.007534,4.0052
pair_051_orig_F.wav,1.0,0.06885,0.003699,3.9617
pair_052_orig_M.wav,1.0,0.084968,0.017904,3.6986
pair_053_orig_F.wav,0.9144,0.056108,0.026467,3.9476
pair_054_orig_F.wav,0.9806,0.048654,0.000167,4.2312
pair_055_orig_M.wav,1.0,0.076362,0.017291,3.8286
pair_056_orig_M.wav,1.0,0.101763,0.049116,3.4263
pair_057_orig_M.wav,1.0,0.026111,0.002685,4.6043
pair_058_orig_F.wav,1.0,0.381124,0.25009,3.1249
pair_059_orig_F.wav,0.9371,0.028073,0.002532,4.4494
pair_060_orig_F.wav,1.0,0.300553,0.172893,3.2407
pair_061_orig_M.wav,0.9679,0.028376,0.001344,4.5082
pair_062_orig_F.wav,1.0,0.040909,0.003595,4.381
pair_063_orig_F.wav,0.9459,0.231194,0.058637,3.3039
pair_064_orig_M.wav,1.0,0.356005,0.067983,3.398
pair_065_orig_M.wav,1.0,0.073009,0.018055,3.8778
pair_066_orig_F.wav,0.8984,0.048412,0.000159,4.0704
pair_067_orig_F.wav,0.9189,0.022199,0.001772,4.5022
pair_068_orig_F.wav,0.9553,0.078031,0.000654,3.7392
pair_069_orig_M.wav,1.0,0.188699,0.042518,3.4362
pair_070_orig_M.wav,1.0,0.178374,0.09656,3.3552
pair_071_orig_M.wav,1.0,0.124373,0.048412,3.4274
pair_072_orig_M.wav,1.0,0.023772,0.001325,4.6414
pair_073_orig_F.wav,1.0,0.123384,0.024449,3.4633
pair_074_orig_M.wav,1.0,0.013596,0.001342,4.794
pair_075_orig_F.wav,0.9786,0.045159,0.003584,4.2745
pair_076_orig_M.wav,1.0,0.021047,0.002517,4.6805
pair_077_orig_F.wav,1.0,0.044689,0.0091,4.316
pair_078_orig_F.wav,0.9677,0.046583,0.005648,4.2283
pair_079_orig_F.wav,0.984,0.06193,0.009731,4.0244
pair_080_orig_F.wav,0.9833,0.084864,0.000529,3.6929
pair_081_orig_M.wav,1.0,0.356592,0.052754,3.4209
pair_082_orig_M.wav,1.0,0.061656,0.02516,4.0374
pair_083_orig_F.wav,0.877,0.051989,0.015842,3.9504
pair_084_orig_F.wav,0.7705,0.068634,0.005302,3.5035
pair_085_orig_F.wav,1.0,0.038734,0.003705,4.4134
pair_086_orig_F.wav,0.9465,0.017534,0.002078,4.6269
pair_087_orig_F.wav,0.861,0.220859,0.015688,3.1984
pair_088_orig_F.wav,0.7326,0.148724,0.00702,2.9547
pair_089_orig_F.wav,1.0,0.143589,0.090726,3.3639
pair_090_orig_M.wav,0.9933,0.060151,0.002536,4.0805
pair_091_orig_F.wav,1.0,0.015989,0.001247,4.7583
pair_092_orig_M.wav,1.0,0.184324,0.128536,3.3072
pair_093_orig_M.wav,0.9519,0.060408,0.013437,3.9775
pair_094_orig_F.wav,0.7754,0.20696,0.039278,2.9919
pair_095_orig_M.wav,1.0,0.279925,0.299189,3.0512
pair_096_orig_M.wav,0.8769,0.01574,0.001115,4.5161
pair_097_orig_F.wav,0.8272,0.109222,0.01665,3.1293
pair_098_orig_F.wav,0.988,0.106117,0.02767,3.4344
pair_099_orig_M.wav,0.9198,0.053564,0.005113,4.0284
