file,SAR,SpectralFlat,HF_Ratio,DNSMOS_proxy
pair_000_trans_M2F.wav,1.0,0.01894,0.002569,4.712
pair_001_trans_F2M.wav,0.9144,0.007051,0.001586,4.7207
pair_002_trans_M2F.wav,1.0,0.015172,0.000961,4.771
pair_003_trans_F2M.wav,0.854,0.003789,0.000142,4.651
pair_004_trans_F2M.wav,1.0,0.01398,0.001716,4.7877
pair_005_trans_F2M.wav,0.9251,0.019853,0.003759,4.5468
pair_006_trans_F2M.wav,1.0,0.01045,0.000485,4.8425
pair_007_trans_F2M.wav,1.0,0.08635,0.016841,3.6795
pair_008_trans_M2F.wav,0.9216,0.020592,0.002778,4.5301
pair_009_trans_F2M.wav,0.9902,0.039652,0.003865,4.3798
pair_010_trans_M2F.wav,1.0,0.013664,0.0007,4.794
pair_011_trans_M2F.wav,1.0,0.029516,0.002556,4.5534
pair_012_trans_F2M.wav,0.8021,0.051339,0.001998,3.8312
pair_013_trans_F2M.wav,0.6753,0.029984,0.003029,3.8963
pair_014_trans_F2M.wav,1.0,0.055168,0.007813,4.1608
pair_015_trans_F2M.wav,1.0,0.005162,9.5e-05,4.9224
pair_016_trans_F2M.wav,1.0,0.009209,0.000631,4.8609
pair_017_trans_M2F.wav,0.9198,0.013737,0.001573,4.6312
pair_018_trans_F2M.wav,1.0,0.028124,0.001002,4.5766
pair_019_trans_M2F.wav,1.0,0.014903,0.001773,4.7738
pair_020_trans_M2F.wav,0.9305,0.023285,0.004484,4.505
pair_021_trans_M2F.wav,1.0,0.020565,0.00247,4.6878
pair_022_trans_M2F.wav,1.0,0.009803,0.00107,4.8514
pair_023_trans_M2F.wav,1.0,0.037604,0.002553,4.4321
pair_024_trans_F2M.wav,0.9573,0.014262,0.005178,4.6928
pair_025_trans_M2F.wav,1.0,0.117525,0.0318,3.4523
pair_026_trans_M2F.wav,1.0,0.02122,0.001675,4.6792
pair_027_trans_F2M.wav,0.9931,0.083231,0.021702,3.7052
pair_028_trans_M2F.wav,1.0,0.018332,0.000821,4.7238
pair_029_trans_F2M.wav,0.9921,0.007834,0.000207,4.8664
pair_030_trans_M2F.wav,1.0,0.030553,0.001331,4.5397
pair_031_trans_F2M.wav,1.0,0.011456,0.001385,4.8261
